,age,education,marital_status,occupation,bloodline,gender,hours_per_week,income_bracket,magical_artifact_possession_score,magical_artifact_power_level,number_of_spells_mastered,gringotts_approved_loan,income_bracket_numeric,number_of_spells_mastered_zscore
0,42,Aurors Specialism,Married,Ministry of Magic Official,Half-blood,Male,40.0,>50 Galleons,42342,49533.6,34,1,1,0.12619706651357893
1,44,Charms Scholar,Married,Wandlore Assistant,Half-blood,Male,40.0,<=50 Galleons,24905,39411.0,15,0,0,0.10995108600163368
2,22,Hogwarts Graduate,Never-married,Ministry of Magic Official,Half-blood,Male,40.0,<=50 Galleons,26993,47254.4,14,0,0,0.10909603439574182
3,61,Specialism in a magical field,Divorced,Other,Half-blood,Male,40.0,<=50 Galleons,87368,89535.40000000001,25,0,0,0.11850160206055224
4,54,Specialism in a magical field,Married,Potion Ingredients Supplier,Half-blood,Male,40.0,>50 Galleons,69207,72587.6,38,1,1,0.12961727293714637
5,62,Hogwarts Graduate,Married,Magical Shop Owner,Half-blood,Male,40.0,<=50 Galleons,53702,61862.600000000006,24,0,0,0.11764655045466038
6,30,Aurors Specialism,Married,Potioneer,Half-blood,Male,40.0,<=50 Galleons,89268,92043.4,18,1,0,0.11251624081930925
7,35,Specialism in a magical field,Married,Other,Half-blood,Female,12.0,>50 Galleons,54498,69197.4,42,0,1,0.13303747936071378
8,37,Specialism in a magical field,Married,Hogwarts Professor,Half-blood,Male,45.0,>50 Galleons,81427,84397.6,31,1,1,0.12363191169590337
9,40,Aurors Specialism,Never-married,Magical Intelligence Agent,Half-blood,Male,50.0,<=50 Galleons,22208,46140.4,20,1,0,0.11422634403109296
10,51,Aurors Specialism,Married,Wandmaker,Half-blood,Male,40.0,>50 Galleons,82501,85590.8,38,1,1,0.12961727293714637
11,30,Hogwarts Graduate,Divorced,Magical Shop Owner,Half-blood,Male,40.0,<=50 Galleons,31279,53224.2,27,0,0,0.12021170527233595
12,72,Hogwarts Graduate,Widowed,Magical Shop Owner,Half-blood,Female,40.0,<=50 Galleons,19982,41759.6,26,0,0,0.11935665366644409
13,25,Hogwarts Graduate,Divorced,Magical Transportation,Half-blood,Female,40.0,<=50 Galleons,56554,64874.2,25,0,0,0.11850160206055224
14,28,Specialism in a magical field,Never-married,Other,Half-blood,Male,40.0,<=50 Galleons,11129,29900.2,26,0,0,0.11935665366644409
15,41,Aurors Specialism,Married,Auror,Half-blood,Male,45.0,>50 Galleons,66565,73664.0,40,1,1,0.13132737614893006
16,19,Hogwarts Graduate,Never-married,Other,Half-blood,Male,36.0,<=50 Galleons,77823,83202.4,18,0,0,0.11251624081930925
17,64,Specialism in a magical field,Married,Hogwarts Professor,Half-blood,Male,45.0,>50 Galleons,61754,69963.20000000001,44,1,1,0.1347475825724975
18,61,Dropout,Married,Other,Half-blood,Male,40.0,<=50 Galleons,91315,96417.0,20,0,0,0.11422634403109296
19,51,Specialism in a magical field,Divorced,Hogwarts Professor,Half-blood,Male,48.0,>50 Galleons,80138,86467.4,34,1,1,0.12619706651357893
20,51,Aurors Specialism,Married,Potion Ingredients Supplier,Half-blood,Male,40.0,>50 Galleons,72772,84985.6,39,1,1,0.1304723245430382
21,43,Hogwarts Graduate,Married,Other,Half-blood,Male,60.0,<=50 Galleons,81272,91141.6,17,0,0,0.11166118921341739
22,21,Hogwarts Graduate,Never-married,Hogwarts Professor,Half-blood,Male,40.0,<=50 Galleons,96387,98339.6,27,1,0,0.12021170527233595
23,28,Hogwarts Graduate,Never-married,Magical Transportation,Pureblood,Male,40.0,<=50 Galleons,74021,81904.8,16,1,0,0.11080613760752554
24,23,Specialism in a magical field,Never-married,Wandlore Assistant,Half-blood,Male,40.0,<=50 Galleons,15162,38821.6,25,1,0,0.11850160206055224
25,53,Hogwarts Graduate,Divorced,Potioneer,Half-blood,Male,50.0,<=50 Galleons,89772,87625.6,25,0,0,0.11850160206055224
26,33,Hogwarts Graduate,Divorced,Potioneer,Half-blood,Male,40.0,<=50 Galleons,24776,40908.8,26,0,0,0.11935665366644409
27,34,Specialism in a magical field,Married,Wandmaker,Half-blood,Female,35.0,<=50 Galleons,35188,50973.4,13,0,0,0.10824098278984998
28,51,Hogwarts Graduate,Married,Potioneer,Half-blood,Male,40.0,<=50 Galleons,37273,55822.4,21,1,0,0.11508139563698482
29,62,Specialism in a magical field,Widowed,Potioneer,Half-blood,Female,33.0,<=50 Galleons,88262,95671.6,18,0,0,0.11251624081930925
30,30,Specialism in a magical field,Divorced,Potioneer,Half-blood,Male,40.0,<=50 Galleons,31795,54216.0,22,1,0,0.11593644724287668
31,47,Hogwarts Graduate,Divorced,Magical Transportation,Half-blood,Female,40.0,<=50 Galleons,83991,84233.8,24,0,0,0.11764655045466038
32,37,Hogwarts Graduate,Married,Magical Shop Owner,Half-blood,Non-binary,40.0,<=50 Galleons,23151,48251.8,17,0,0,0.11166118921341739
33,25,Specialism in a magical field,Never-married,Gringotts Bank,Half-blood,Female,40.0,<=50 Galleons,60157,67583.6,24,0,0,0.11764655045466038
34,29,Specialism in a magical field,Never-married,Ministry of Magic Official,Half-blood,Male,35.0,<=50 Galleons,86660,95457.0,13,1,0,0.10824098278984998
35,66,Aurors Specialism,Married,Potioneer,Half-blood,Male,30.0,<=50 Galleons,14849,34113.2,15,1,0,0.10995108600163368
36,38,Aurors Specialism,Never-married,Potioneer,Half-blood,Female,40.0,<=50 Galleons,51546,58166.8,28,0,0,0.12106675687822781
37,17,Dropout,Never-married,Wandlore Assistant,Half-blood,Male,16.0,<=50 Galleons,45992,62979.6,18,0,0,0.11251624081930925
38,40,Specialism in a magical field,Married,Other,Half-blood,Female,40.0,<=50 Galleons,29436,44431.8,24,0,0,0.11764655045466038
39,37,Specialism in a magical field,Married,Gringotts Bank,Pureblood,Female,40.0,<=50 Galleons,48590,64034.0,16,1,0,0.11080613760752554
40,26,Hogwarts Graduate,Never-married,Magical Shop Owner,Pureblood,Male,40.0,<=50 Galleons,16787,35711.6,22,1,0,0.11593644724287668
41,41,Specialism in a magical field,Married,Potioneer,Half-blood,Male,40.0,<=50 Galleons,36791,53100.8,14,0,0,0.10909603439574182
42,40,Specialism in a magical field,Separated,Hogwarts Professor,Pureblood,Male,44.0,<=50 Galleons,18804,35073.2,20,1,0,0.11422634403109296
43,50,Hogwarts Graduate,Married,Other,Half-blood,Male,65.0,>50 Galleons,75988,87903.4,36,0,1,0.12790716972536265
44,32,Specialism in a magical field,Never-married,Wandmaker,Pureblood,Female,60.0,<=50 Galleons,72040,77000.0,25,1,0,0.11850160206055224
45,46,Aurors Specialism,Married,Potion Ingredients Supplier,Half-blood,Male,40.0,>50 Galleons,67861,71996.8,36,1,1,0.12790716972536265
46,29,Specialism in a magical field,Never-married,Magical Shop Owner,Half-blood,Female,40.0,<=50 Galleons,22640,35743.0,14,0,0,0.10909603439574182
47,34,Hogwarts Graduate,Divorced,Potioneer,Half-blood,Male,50.0,>50 Galleons,57639,68047.20000000001,40,0,1,0.13132737614893006
48,30,Hogwarts Graduate,Never-married,Hogwarts Professor,Half-blood,Male,40.0,<=50 Galleons,34187,46941.600000000006,21,0,0,0.11508139563698482
49,64,Aurors Specialism,Widowed,Goblin Liaison Officer,Pureblood,Male,40.0,>50 Galleons,57150,66995.0,35,1,1,0.12705211811947079
50,25,Specialism in a magical field,Never-married,Potioneer,Pureblood,Male,40.0,<=50 Galleons,81341,91942.8,18,1,0,0.11251624081930925
51,66,Aurors Specialism,Married,Dark Forces Defense Consultant,Half-blood,Male,8.0,>50 Galleons,97987,96417.6,31,1,1,0.12363191169590337
52,52,Dropout,Married,Magical Shop Owner,Half-blood,Male,60.0,<=50 Galleons,61403,72232.4,15,0,0,0.10995108600163368
53,41,Hogwarts Graduate,Divorced,Ministry of Magic Official,Half-blood,Female,52.0,<=50 Galleons,-2436,18447.2,26,0,0,0.11935665366644409
54,47,Dropout,Widowed,Ministry of Magic Official,Half-blood,Male,40.0,<=50 Galleons,66548,82292.4,27,0,0,0.12021170527233595
55,47,Dropout,Married,Hogwarts Professor,Half-blood,Male,48.0,>50 Galleons,38053,49202.4,43,0,1,0.13389253096660564
56,49,Aurors Specialism,Married,Hogwarts Professor,Half-blood,Male,40.0,>50 Galleons,35767,56791.600000000006,34,1,1,0.12619706651357893
57,19,Specialism in a magical field,Never-married,Other,Half-blood,Female,20.0,<=50 Galleons,69020,71880.0,27,0,0,0.12021170527233595
58,25,Specialism in a magical field,Never-married,Wandlore Assistant,Pureblood,Female,30.0,<=50 Galleons,81049,86861.20000000001,25,1,0,0.11850160206055224
59,19,Hogwarts Graduate,Never-married,Magical Shop Owner,Veiled Heritage,Female,15.0,<=50 Galleons,2910,18410.0,17,0,0,0.11166118921341739
60,43,Specialism in a magical field,Married,Wandlore Assistant,Half-blood,Male,40.0,>50 Galleons,90893,97160.4,34,1,1,0.12619706651357893
61,31,Hogwarts Graduate,Married,Magical Transportation,Half-blood,Female,36.0,<=50 Galleons,58731,62444.8,15,0,0,0.10995108600163368
62,22,Specialism in a magical field,Never-married,Hogwarts Professor,Half-blood,Male,20.0,<=50 Galleons,78524,87034.20000000001,16,0,0,0.11080613760752554
63,26,Hogwarts Graduate,Divorced,Other,Half-blood,Non-binary,40.0,<=50 Galleons,39539,58936.2,20,0,0,0.11422634403109296
64,21,Specialism in a magical field,Never-married,Other,Half-blood,Male,40.0,<=50 Galleons,34886,56762.8,23,0,0,0.11679149884876852
65,34,Aurors Specialism,Married,Magical Intelligence Agent,Half-blood,Male,55.0,>50 Galleons,37667,52681.600000000006,39,1,1,0.1304723245430382
66,20,Specialism in a magical field,Never-married,Gringotts Bank,Pureblood,Female,20.0,<=50 Galleons,92049,91599.2,25,1,0,0.11850160206055224
67,19,Specialism in a magical field,Never-married,Magical Shop Owner,Half-blood,Male,66.0,<=50 Galleons,79217,79219.6,28,0,0,0.12106675687822781
68,57,Hogwarts Graduate,Widowed,Wandmaker,Half-blood,Non-binary,57.0,<=50 Galleons,45404,53082.2,13,0,0,0.10824098278984998
69,35,Specialism in a magical field,Married,Goblin Liaison Officer,Half-blood,Male,40.0,<=50 Galleons,54380,69790.0,19,0,0,0.11337129242520111
70,36,Hogwarts Graduate,Never-married,Other,Half-blood,Female,40.0,<=50 Galleons,11188,26532.4,14,0,0,0.10909603439574182
71,55,Specialism in a magical field,Divorced,Other,Half-blood,Female,52.0,<=50 Galleons,51382,59775.600000000006,24,0,0,0.11764655045466038
72,52,Specialism in a magical field,Married,Other,Half-blood,Male,40.0,>50 Galleons,47503,59989.4,36,1,1,0.12790716972536265
73,25,Hogwarts Graduate,Never-married,Magical Shop Owner,Half-blood,Male,65.0,<=50 Galleons,29432,44365.600000000006,22,0,0,0.11593644724287668
74,25,Specialism in a magical field,Married,Gringotts Bank,Pureblood,Male,40.0,<=50 Galleons,53290,63357.0,25,1,0,0.11850160206055224
75,33,Specialism in a magical field,Married,Hogwarts Professor,Half-blood,Male,55.0,>50 Galleons,76980,79951.0,45,1,1,0.13560263417838933
