age,education,marital_status,occupation,bloodline,gender,hours_per_week,income_bracket,magical_artifact_possession_score,magical_artifact_power_level,number_of_spells_mastered,gringotts_approved_loan
42,Aurors Specialism,Married,Ministry of Magic Official,Half-blood,Male,,>50 Galleons,42342,49533.6,34,Yes
44,Charms Scholar,Married,Wandlore Assistant,Half-blood,Male,,<=50 Galleons,24905,39411.0,15,No
22,Hogwarts Graduate,Never-married,Ministry of Magic Official,Half-blood,Male,,<=50 Galleons,26993,47254.4,14,No
61,Specialism in a magical field,Divorced,Other,Half-blood,Male,,<=50 Galleons,87368,89535.40000000001,25,No
54,Specialism in a magical field,Married,Potion Ingredients Supplier,Half-blood,Male,40.0,>50 Galleons,69207,72587.6,38,Yes
62,Hogwarts Graduate,Married,Magical Shop Owner,Half-blood,Male,40.0,<=50 Galleons,53702,61862.600000000006,24,No
30,Aurors Specialism,Married,Potioneer,Half-blood,Male,40.0,<=50 Galleons,89268,92043.40000000001,18,Yes
35,Specialism in a magical field,Married,Other,Half-blood,Female,12.0,>50 Galleons,54498,69197.4,42,No
37,Specialism in a magical field,Married,Hogwarts Professor,Half-blood,Male,45.0,>50 Galleons,81427,84397.6,31,Yes
40,Aurors Specialism,Never-married,Magical Intelligence Agent,Half-blood,Male,50.0,<=50 Galleons,22208,46140.4,20,Yes
51,Aurors Specialism,Married,Wandmaker,Half-blood,Male,40.0,>50 Galleons,82501,85590.8,38,Yes
30,Hogwarts Graduate,Divorced,Magical Shop Owner,Half-blood,Male,,<=50 Galleons,31279,53224.2,27,No
72,Hogwarts Graduate,Widowed,Magical Shop Owner,Half-blood,Female,,<=50 Galleons,19982,41759.6,26,No
25,Hogwarts Graduate,Divorced,Magical Transportation,Half-blood,Female,40.0,<=50 Galleons,56554,64874.200000000004,25,No
28,Specialism in a magical field,Never-married,Other,Half-blood,Male,40.0,<=50 Galleons,11129,29900.2,26,No
41,Aurors Specialism,Married,Auror,Half-blood,Male,45.0,>50 Galleons,66565,73664.0,40,Yes
19,Hogwarts Graduate,Never-married,Other,Half-blood,Male,36.0,<=50 Galleons,77823,83202.4,18,No
64,Specialism in a magical field,Married,Hogwarts Professor,Half-blood,Male,45.0,>50 Galleons,61754,69963.20000000001,44,Yes
61,Dropout,Married,Other,Half-blood,Male,40.0,<=50 Galleons,91315,96417.0,20,No
51,Specialism in a magical field,Divorced,Hogwarts Professor,Half-blood,Male,48.0,>50 Galleons,80138,86467.4,34,Yes
51,Aurors Specialism,Married,Potion Ingredients Supplier,Half-blood,Male,40.0,>50 Galleons,72772,84985.6,39,Yes
43,Hogwarts Graduate,Married,Other,Half-blood,Male,60.0,<=50 Galleons,81272,91141.6,17,No
21,Hogwarts Graduate,Never-married,Hogwarts Professor,Half-blood,Male,,<=50 Galleons,96387,98339.6,27,Yes
28,Hogwarts Graduate,Never-married,Magical Transportation,Pureblood,Male,,<=50 Galleons,74021,81904.8,16,Yes
23,Specialism in a magical field,Never-married,Wandlore Assistant,Half-blood,Male,40.0,<=50 Galleons,15162,38821.6,25,Yes
53,Hogwarts Graduate,Divorced,Potioneer,Half-blood,Male,50.0,<=50 Galleons,89772,87625.6,25,No
33,Hogwarts Graduate,Divorced,Potioneer,Half-blood,Male,40.0,<=50 Galleons,24776,40908.8,26,No
34,Specialism in a magical field,Married,Wandmaker,Half-blood,Female,35.0,<=50 Galleons,35188,50973.4,13,No
51,Hogwarts Graduate,Married,Potioneer,Half-blood,Male,40.0,<=50 Galleons,37273,55822.4,21,Yes
62,Specialism in a magical field,Widowed,Potioneer,Half-blood,Female,33.0,<=50 Galleons,88262,95671.6,18,No
30,Specialism in a magical field,Divorced,Potioneer,Half-blood,Male,40.0,<=50 Galleons,31795,54216.0,22,Yes
47,Hogwarts Graduate,Divorced,Magical Transportation,Half-blood,Female,40.0,<=50 Galleons,83991,84233.8,24,No
37,Hogwarts Graduate,Married,Magical Shop Owner,Half-blood,Non-binary,40.0,<=50 Galleons,23151,48251.8,17,No
25,Specialism in a magical field,Never-married,Gringotts Bank,Half-blood,Female,40.0,<=50 Galleons,60157,67583.6,24,No
29,Specialism in a magical field,Never-married,Ministry of Magic Official,Half-blood,Male,35.0,<=50 Galleons,86660,95457.0,13,Yes
66,Aurors Specialism,Married,Potioneer,Half-blood,Male,30.0,<=50 Galleons,14849,34113.2,15,Yes
38,Aurors Specialism,Never-married,Potioneer,Half-blood,Female,40.0,<=50 Galleons,51546,58166.8,28,No
17,Dropout,Never-married,Wandlore Assistant,Half-blood,Male,16.0,<=50 Galleons,45992,62979.6,18,No
40,Specialism in a magical field,Married,Other,Half-blood,Female,,<=50 Galleons,29436,44431.8,24,No
37,Specialism in a magical field,Married,Gringotts Bank,Pureblood,Female,,<=50 Galleons,48590,64034.0,16,Yes
26,Hogwarts Graduate,Never-married,Magical Shop Owner,Pureblood,Male,40.0,<=50 Galleons,16787,35711.6,22,Yes
41,Specialism in a magical field,Married,Potioneer,Half-blood,Male,40.0,<=50 Galleons,36791,53100.8,14,No
40,Specialism in a magical field,Separated,Hogwarts Professor,Pureblood,Male,44.0,<=50 Galleons,18804,35073.2,20,Yes
50,Hogwarts Graduate,Married,Other,Half-blood,Male,65.0,>50 Galleons,75988,87903.4,36,No
32,Specialism in a magical field,Never-married,Wandmaker,Pureblood,Female,60.0,<=50 Galleons,72040,77000.0,25,Yes
46,Aurors Specialism,Married,Potion Ingredients Supplier,Half-blood,Male,40.0,>50 Galleons,67861,71996.8,36,Yes
